"name","status","lines","tailwind_arb","hardcoded_hex","v_deep","img_no_error","position_abs"
"home","OK","118","0","0","0","0","0"
"worker-login","OK","9","0","0","0","0","0"
"worker-register","OK","2669","0","0","0","0","2"
"worker-home","OK","60","0","0","0","0","0"
"worker-search","OK","679","0","0","0","0","2"
"worker-vacancy","OK","1708","0","0","0","0","3"
"worker-vacancy-details","OK","3","0","0","0","0","0"
"worker-profile","OK","5720","0","0","0","0","1"
"worker-create-resume","OK","187","0","0","0","0","0"
"worker-company","OK","597","0","0","0","0","2"
"worker-desk-application","OK","331","0","0","0","0","0"
"worker-desk-saved","OK","505","0","0","0","0","0"
"worker-desk-interview","OK","234","0","0","0","0","0"
"worker-category","OK","409","0","0","0","0","5"
"news","OK","193","0","0","0","0","0"
"worker-faq","OK","136","0","0","0","0","0"
"company-home","OK","52","0","0","0","0","0"
"company-vacancy-add","OK","1109","0","10","0","0","1"
"company-candidates","OK","2292","0","1","0","0","1"
"worker-top-vacancy","OK","433","0","0","0","0","0"
"worker-desk-suggestions","OK","332","0","0","0","0","0"
"worker-faq-message","OK","282","0","0","0","0","0"
"worker-my-resume-id","OK","289","0","0","0","0","1"
"worker-vacancy-slug","OK","1709","0","5","0","0","3"
"worker-vacancy-category","OK","1756","0","5","0","0","3"
"worker-company-slug","OK","1692","0","13","0","-1","1"
"worker-advanced-search","OK","735","0","0","2","0","1"
"calendar","OK","534","0","0","0","0","0"
"company-brand","OK","827","0","0","0","0","1"
"static-slug","OK","253","0","1","0","0","1"
"blog-index","OK","430","0","0","0","0","2"
"blog-id","OK","325","0","0","0","0","0"
"events-index","OK","268","0","0","2","0","1"
"register-index","OK","234","0","0","0","0","0"
"company-index","OK","96","0","0","0","0","0"
"company-login","OK","9","0","0","0","0","0"
"company-register","OK","1192","0","0","0","0","2"
"company-advanced-search","OK","555","0","0","0","0","1"
"company-candidate-id","OK","3260","0","18","0","0","6"
"company-desk-application","OK","253","0","0","0","0","0"
"company-desk-interview","OK","216","0","0","0","0","0"
"company-desk-saved","OK","750","0","4","0","0","1"
"company-faq-message","OK","273","0","0","0","0","0"
"worker-account-main","OK","1592","0","0","0","0","3"
"worker-account-notifications","OK","429","0","0","0","0","0"
"worker-account-password","OK","220","0","0","0","0","0"
"worker-password","OK","8","0","0","0","0","0"
"worker-subscribe","OK","258","0","0","0","0","0"
"worker-services-index","OK","120","0","0","0","0","0"
"worker-services-id","OK","398","0","0","3","0","0"
"worker-buy-service-index","OK","398","0","1","0","0","0"
"worker-buy-service-history","OK","58","0","1","0","0","0"
"worker-profile-application","OK","612","0","10","0","0","0"
"worker-my-resume-index","OK","262","0","0","0","0","0"
"worker-faq-slug","OK","185","0","0","0","0","0"
"worker-faq-questions","OK","256","0","0","0","0","0"
"worker-vacancy-details-index","OK","3","0","0","0","0","0"
"worker-vacancy-our-vacancies","OK","1591","0","5","0","0","3"
"company-account-main","OK","1851","0","3","0","0","3"
"company-account-notifications","OK","482","0","0","0","0","0"
"company-account-password","OK","231","0","0","0","0","0"
"company-password","OK","8","0","0","0","0","0"
"company-profile-index","OK","1415","0","8","0","-2","1"
"company-profile-application","OK","678","0","10","0","0","0"
"company-category","OK","389","0","0","0","0","3"
"company-desk-suggestions-index","OK","426","0","0","0","0","0"
"company-desk-suggestions-slug","OK","325","0","0","0","0","0"
"company-vacancy-slug","OK","1099","0","6","0","0","0"
"company-vacancy-edit-id","OK","999","0","8","0","0","2"
"company-tarif-index","OK","763","0","0","0","0","3"
"company-tarif-status","OK","354","0","0","0","0","2"
"company-tarif-bought-pocket","OK","25","0","0","0","0","0"
"company-tarif-package-services","OK","229","0","0","0","0","0"
"company-tarif-purchase-history","OK","70","0","0","0","0","0"
"company-tarif-multi-profile-index","OK","158","0","0","0","0","1"
"company-tarif-multi-profile-create","OK","800","0","6","0","0","1"
"company-tarif-multi-profile-edit","OK","863","0","6","0","0","1"
"about-us","FILE_NOT_FOUND","0","0","0","0","0","0"
"brand-resources","OK","827","0","0","0","0","1"
"error-500","OK","118","0","0","0","0","1"
"error-404","OK","118","0","0","0","0","1"
"partners","FILE_NOT_FOUND","0","0","0","0","0","0"
"investors","FILE_NOT_FOUND","0","0","0","0","0","0"
"ads-on-site","FILE_NOT_FOUND","0","0","0","0","0","0"
"send-message","FILE_NOT_FOUND","0","0","0","0","0","0"
"faq","FILE_NOT_FOUND","0","0","0","0","0","0"
